type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,MAGNÉSIUM SULFATE HEPTAHYDRATE 1Kg,EUROMEDEX,C078,NA21,,58.74,C078,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,METHYL 4-HYDROXYBENZOATE 99% 1Kg,PROLABO,C068,NA28,,63.02,C068,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,METHYL 4-HYDROXYBENZOATE - SEL DE SODIUM 5Kg,MERCK,C068A,NA28,,462.88,C068A,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,PARAFORMALDEHYDE en poudre 1Kg,PROLABO,C073,NA21,,16.48,C073,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,POTASSIUM ACÉTATE NP 1Kg,EUROMEDEX,C044,NA21,,38.2,C044,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,POTASSIUM CHLORURE PA 1Kg,PROLABO,C045,NA21,,19.37,C045,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,POTASSIUM DIHYDROGENOPHOSPHATE NP1Kg,PROLABO,C046,NA21,,32.31,C046,
solide,catalogue_ijm_ligne_separee,,POTASSIUM HYDROXYDE Solution 38 % NP 1 litre,PROLABO,C047,NA21,,38.11,C047,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,POTASSIUM HYDROXYDE en pastilles 1Kg,PROLABO,C048,NA21,,30.28,C048,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,DI-POTASSIUM HYDROGENOPHOSPHATE Rectapur 1Kg,PROLABO,C051,NA21,,29.64,C051,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,URÉE NP 1Kg,PROLABO,C065,NA21,,20.22,C065,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SACCHAROSE NP 1Kg,PROLABO,C054,NA28,,16.59,C054,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SUCROSE D (+) SACCHAROSE 1Kg,EUROMEDEX,C0541,NA21,,13.48,C0541,
